바카, 197, 81
사바, 152, 99
차아, 155, 72
타차, 154, 89
타라, 152, 55
바하, 181, 73
나자, 197, 50
카카, 170, 65
마타, 172, 75
차타, 191, 88
자라, 186, 50
아다, 180, 58
차라, 186, 53
나라, 191, 68
하사, 196, 59
라라, 199, 69
카사, 177, 76
아다, 199, 86
타마, 172, 63
마가, 150, 91
파사, 197, 95
아바, 157, 56
바바, 151, 86
마하, 196, 91
다카, 177, 83
차바, 173, 58
다나, 160, 90
사카, 168, 59
아바, 165, 95
라하, 153, 58
바라, 151, 99
나가, 152, 51
나파, 198, 53
타차, 151, 87
다아, 181, 89
마가, 189, 76
타라, 189, 84
하다, 189, 54
아차, 155, 69
바차, 163, 92
사라, 159, 55
라바, 174, 55
하아, 161, 62
다카, 186, 69
아다, 185, 65
라아, 196, 86
아아, 180, 61
나나, 165, 74
타카, 184, 63
타아, 192, 91
마다, 168, 74
아다, 151, 74
사라, 151, 51
카가, 182, 89
카하, 189, 83
파사, 150, 98
아타, 179, 79
다사, 173, 66
파바, 187, 96
마다, 157, 77
자사, 155, 53
마라, 198, 59
가사, 198, 99
나자, 186, 83
바라, 157, 98
가파, 157, 87
라타, 165, 74
나다, 151, 50
아라, 152, 64
가다, 192, 96
바카, 164, 81
가차, 183, 74
자바, 188, 62
마하, 196, 67
나다, 164, 78
차카, 180, 76
아가, 180, 93
아타, 183, 53
차아, 174, 89
차나, 191, 65
아하, 183, 90
나나, 166, 52
다차, 187, 75
아가, 150, 83
가파, 188, 85
하바, 166, 82
파파, 183, 57
하아, 173, 58
아자, 154, 90
하라, 155, 55
가가, 176, 77
다하, 183, 99
하다, 158, 67
다파, 152, 81
바사, 177, 79
자사, 152, 63
아라, 184, 65
자다, 174, 67
아가, 178, 90
자가, 166, 78
다아, 151, 95
마바, 197, 95
차타, 168, 95
하자, 152, 58
타나, 198, 56
파가, 179, 97
타아, 169, 80
바사, 188, 57
자나, 153, 68
하다, 178, 68
카마, 198, 57
자나, 169, 66
아가, 170, 53
하마, 196, 67
